
The following have been reloaded with a version change:
  1) openmpi/4.1.5-cxfn => openmpi/4.1.5-rlhv

To request GPUs, add --gpus-per-node X or --gpus X, where X is the desired number of GPUs.
Job 2159893 running on hopper[002,010]
MPI Naive -- Matrix dim: 64, Procs: 64 , Elapsed Time 3.655574e-01
Concurrency Naive -- Matrix dim: 64, Procs: 64 , Elapsed Time 2.707700e-01
Concurrency Naive TESTALL-- Matrix dim: 64, Procs: 64 , Elapsed Time 2.676626e-01
OpenMP Naive -- Matrix dim: 64, Procs: 64 , Elapsed Time 2.663457e-01
Concurrency with OpenMP Naive -- Matrix dim: 64, Procs: 64 , Elapsed Time 2.682114e-01

MPI Naive -- Matrix dim: 64, Procs: 64 , Elapsed Time 6.082773e-01
Concurrency Naive -- Matrix dim: 64, Procs: 64 , Elapsed Time 2.653455e-01
Concurrency Naive TESTALL-- Matrix dim: 64, Procs: 64 , Elapsed Time 2.657871e-01
OpenMP Naive -- Matrix dim: 64, Procs: 64 , Elapsed Time 2.648094e-01
Concurrency with OpenMP Naive -- Matrix dim: 64, Procs: 64 , Elapsed Time 2.656305e-01

MPI Naive -- Matrix dim: 128, Procs: 64 , Elapsed Time 7.661181e-01
Concurrency Naive -- Matrix dim: 128, Procs: 64 , Elapsed Time 2.664094e-01
Concurrency Naive TESTALL-- Matrix dim: 128, Procs: 64 , Elapsed Time 2.682473e-01
OpenMP Naive -- Matrix dim: 128, Procs: 64 , Elapsed Time 2.690092e-01
Concurrency with OpenMP Naive -- Matrix dim: 128, Procs: 64 , Elapsed Time 2.673509e-01

MPI Naive -- Matrix dim: 256, Procs: 64 , Elapsed Time 7.699661e-01
Concurrency Naive -- Matrix dim: 256, Procs: 64 , Elapsed Time 2.770258e-01
Concurrency Naive TESTALL-- Matrix dim: 256, Procs: 64 , Elapsed Time 2.790346e-01
OpenMP Naive -- Matrix dim: 256, Procs: 64 , Elapsed Time 2.834809e-01
Concurrency with OpenMP Naive -- Matrix dim: 256, Procs: 64 , Elapsed Time 2.763974e-01

MPI Naive -- Matrix dim: 512, Procs: 64 , Elapsed Time 5.553465e-01
